keyword,url,title,description,desc_lang,title_lang
pubnub,www.pubnub.com,PubNub,"Leverage the power of hosted realtime APIs to build and augment connected experiences including in-app chat, mapping, device control and more on a massive ...",en,id
pubnub,en.wikipedia.org,PubNub - Wikipedia,"PubNub is a Realtime Communication Platform and realtime infrastructure-as-a- service (IaaS) company based in San Francisco, California. The company ...

Industry:  
Products:  
Founder(s):  
Headquarters: ",en,id
shopee,shopee.vn,Shopee,"Mua sắm trực tuyến hàng triệu sản phẩm thời trang nam nữ, đồ điện tử, gia dụng. ..Giá tốt & nhiều ưu đãi. Mua và bán online trong 30 giây. Shopee đảm bảo ...",vi,nl
gmail,www.gmail.com,Email from Google - Gmail,"The ease and simplicity of Gmail, available across all your devices. Gmail's inbox helps you stay organized by sorting your mail by type. Plus, you can video chat ...",en,en
gmail,vi.wikipedia.org,Gmail – Wikipedia tiếng Việt,"Gmail bắt đầu bằng bản phát hành beta có giới hạn vào ngày 1 tháng 4 năm 2004 và kết thúc giai đoạn thử nghiệm vào ngày 7 tháng 7 năm 2009. Khi khởi động, ...

Tạo bởi:  
Tình trạng hiện tại:  
Chủ sở hữu:  
Bắt đầu hoạt động: ",vi,vi
marketingcloud,en.wikipedia.org,Salesforce Marketing Cloud - Wikipedia,"Salesforce Marketing Cloud is a provider of digital marketing automation and analytics software and services. It was founded in 2000 under the name ...

Revenue:  
Number of locations:  
Key people:  
Industry: ",en,en
linhkienst,linhkienst.com,Linh kiện điện tử ST,"mua bán linh kiện điện tử,sửa chữa điều hòa,máy giặt,bếp từ,lò vi sóng,tivi,nồi cơm,IC,điện trở,tụ điện,IGBT,Mosfet,Transistor,IC nguồn,PCB,module,pin,đồng ...",vi,vi
apple-dns,support.apple.com,Kiểm tra máy chủ DNS của bạn bằng cách sử dụng ... - Apple Support,Máy chủ DNS chuyển đổi tên internet thành địa chỉ IP. Nếu bạn nhận được thông báo như “không tìm thấy máy chủ” từ trình duyệt web khi bạn cố gắng truy cập ...,vi,vi
apple-dns,support.apple.com,Specify a DNS server on Mac - Apple Support,"For example, using a DNS server allows you to reach the Apple website by typing “www.apple.com” into your browser — you don't need to know the IP address ...",en,en
crashlytics,en.wikipedia.org,Crashlytics - Wikipedia,"Crashlytics is a Google-owned Boston, Massachusetts-based software company founded in May 2011 by entrepreneurs Wayne Chang and Jeff Seibert.

Headquarters:  
Founders:  
Founded:  
Parent: ",en,en
