keyword,url,title,description,desc_lang,title_lang,web_title,web_title_lang
pubnub,www.pubnub.com,PubNub,"Leverage the power of hosted realtime APIs to build and augment connected experiences including in-app chat, mapping, device control and more on a massive ...",en,id,"Realtime Communication APIs for Chat, Notifications, Geolocation, and Collaboration | PubNub",en
pubnub,en.wikipedia.org,PubNub - Wikipedia,"PubNub is a Realtime Communication Platform and realtime infrastructure-as-a- service (IaaS) company based in San Francisco, California. The company ...

Industry:  
Products:  
Founder(s):  
Headquarters: ",en,id,"Realtime Communication APIs for Chat, Notifications, Geolocation, and Collaboration | PubNub",en
shopee,shopee.vn,Shopee,"Mua sắm trực tuyến hàng triệu sản phẩm thời trang nam nữ, đồ điện tử, gia dụng. ..Giá tốt & nhiều ưu đãi. Mua và bán online trong 30 giây. Shopee đảm bảo ...",vi,nl,Shopee Việt Nam | Mua và Bán Trên Ứng Dụng Di Động Hoặc Website,vi
linhkienst,linhkienst.com,Linh kiện điện tử ST,"mua bán linh kiện điện tử,sửa chữa điều hòa,máy giặt,bếp từ,lò vi sóng,tivi,nồi cơm,IC,điện trở,tụ điện,IGBT,Mosfet,Transistor,IC nguồn,PCB,module,pin,đồng ...",vi,vi,"
			linhkienst bán buôn, bán lẻ linh kiện điện tử, sửa chữa điện tử   – Linh kiện điện tử ST - Website: linhkienst.com 
		",vi
tubecup,www.tubecup.xxx,TubeCup - Free Sex Videos,Watch xxx video on TubeCup.xxx. Free porn movies online!,en,en,TubeCup - Free Sex Videos,en
akamai,www.akamai.com,Akamai,"Akamai is the leading content delivery network (CDN) services provider for media and software delivery, and cloud security solutions.",en,tl,Learn - Akamai Documentation,en
akamai,www.akamai.com,Akamai,"Akamai is the leading content delivery network (CDN) services provider for media and software delivery, and cloud security solutions.",en,tl,"Security, Cloud Delivery, Performance | Akamai",en
akamai,vi.wikipedia.org,Akamai Technologies – Wikipedia tiếng Việt,"Khi người dùng điều hướng đến URL của một khách hàng Akamai, trình duyệt của họ sẽ được chuyển hướng đến một bản sao trang web đó trên Akamai.
  ·  

Tên giao dịch:  
Số lượng nhân viên:  
Loại trang web:  
Trụ sở: ",vi,vi,Learn - Akamai Documentation,en
akamai,vi.wikipedia.org,Akamai Technologies – Wikipedia tiếng Việt,"Khi người dùng điều hướng đến URL của một khách hàng Akamai, trình duyệt của họ sẽ được chuyển hướng đến một bản sao trang web đó trên Akamai.
  ·  

Tên giao dịch:  
Số lượng nhân viên:  
Loại trang web:  
Trụ sở: ",vi,vi,"Security, Cloud Delivery, Performance | Akamai",en
akamai,en.wikipedia.org,Akamai Technologies - Wikipedia,"Akamai Technologies, Inc. is a global content delivery network (CDN), cybersecurity, and cloud service company, providing web and Internet security services.

Net income:  
Number of employees:  
Industry:  
Operating income: ",en,lt,Learn - Akamai Documentation,en
akamai,en.wikipedia.org,Akamai Technologies - Wikipedia,"Akamai Technologies, Inc. is a global content delivery network (CDN), cybersecurity, and cloud service company, providing web and Internet security services.

Net income:  
Number of employees:  
Industry:  
Operating income: ",en,lt,"Security, Cloud Delivery, Performance | Akamai",en
linkedin,www.linkedin.com,LinkedIn,"675 million+ members | Manage your professional identity. Build and engage with your professional network. Access knowledge, insights and opportunities.",en,lt,LinkedIn: Log In or Sign Up,da
linkedin,vi.wikipedia.org,LinkedIn – Wikipedia tiếng Việt,"Nhà sáng lập/CEO trước đây của LinkedIn Reid Hoffman hiện nắm chức Chủ tịch Hội đồng quản trị. Công ty được tài trợ bởi Sequoia Capital, Greylock, liên ...

Số người sử dụng:  
Số lượng nhân viên:  
Doanh thu sau thuế và khấu trừ:  
Loại trang web: ",vi,vi,LinkedIn: Log In or Sign Up,da
jivox,www.jivox.com,Jivox,Deliver a relevant message consistently across all channels in real time. Serving dynamically created ads personalized to individual ...,en,cs,"Omnichannel, AI and Dynamic Creative",en
garena,www.garena.vn,Garena,"Garena eSports. Đấu trường của danh vọng. Điểm đến của đam mê, khởi đầu của huyền thoại. Garena Platforms. Nền tảng game đa dụng - Kết nối mọi game ...
  ·   ·   · ",vi,sv,Garena,ca
garena,www.garena.vn,Garena,"Garena eSports. Đấu trường của danh vọng. Điểm đến của đam mê, khởi đầu của huyền thoại. Garena Platforms. Nền tảng game đa dụng - Kết nối mọi game ...
  ·   ·   · ",vi,sv,Account Center,en
garena,account.garena.com,Đăng nhập - Garena Account Center,"Đăng nhập. Afghanistan (افغانستان), Albania (Shqipëria), Algeria (الجزائر), American Samoa, Andorra, Angola, Anguilla, Antigua and Barbuda, Argentina ...",tl,vi,Garena,ca
garena,account.garena.com,Đăng nhập - Garena Account Center,"Đăng nhập. Afghanistan (افغانستان), Albania (Shqipëria), Algeria (الجزائر), American Samoa, Andorra, Angola, Anguilla, Antigua and Barbuda, Argentina ...",tl,vi,Account Center,en
garena,vi.wikipedia.org,Garena – Wikipedia tiếng Việt,"Nó được thành lập tại Singapore vào năm 2009, bởi Chủ tịch và Giám đốc điều hành hiện tại của Tập đoàn, Forrest Li. Công ty mẹ của Garena là Sea Limited, ...

Nhân viên chủ chốt:  
Trụ sở chính:  
Sản phẩm:  
Loại hình: ",vi,vi,Garena,ca
garena,vi.wikipedia.org,Garena – Wikipedia tiếng Việt,"Nó được thành lập tại Singapore vào năm 2009, bởi Chủ tịch và Giám đốc điều hành hiện tại của Tập đoàn, Forrest Li. Công ty mẹ của Garena là Sea Limited, ...

Nhân viên chủ chốt:  
Trụ sở chính:  
Sản phẩm:  
Loại hình: ",vi,vi,Account Center,en
bepthaiha,bepthaiha.com,Bếp Thái Hà,"Bếp Thái Hà chuyên cung cấp thiết bị nhà bếp nhập khẩu như: bếp từ, bếp điện từ, máy hút mùi, máy rửa bát, lò nướng, vòi chậu, phụ kiện nhà bếp...",vi,vi,Thiết bị bếp cao cấp nhập khẩu - Bếp Thái Hà,vi
livechatinc,my.livechatinc.com,LiveChat - live chat and help desk for websites,LiveChat – online chat and help desk software for websites. Use LiveChat to quickly handle customer service. Sign up and try LiveChat for free for 14 days!,en,en,LiveChat – live chat and help desk for websites,en
livechatinc,my.livechatinc.com,Chats - LiveChat,LiveChat – online chat and help desk software for websites. Use LiveChat to quickly handle customer service. Sign up and try LiveChat for free for 14 days!,en,en,LiveChat – live chat and help desk for websites,en
livechatinc,www.livechat.com,LiveChat | Live Chat Software and Chat Support Software,"Copyright © 2020 LiveChat, Inc. All rights reserved. We use Cookies. Click to learn more →. LiveChat – customer service for business: best live chat software to ...",en,en,LiveChat – live chat and help desk for websites,en
